text,sentence,snp,phenotype,ASSOCIATION,CONFIDENCE
"Transcription factor 7-like 2 (TCF7L2) regulates genes involved in cell proliferation and differentiation. The TCF7L2 gene is located on chromosome 10q25 in a region of replicated linkage to type 2 diabetes. Recently, a microsatellite marker in intron 3 DG10S478 and five correlated single nucleotide polymorphisms (SNPs) were identified in Icelandic individuals that showed strong association with type 2 diabetes, which was replicated in Danish and European-American cohorts.  We genotyped four of the SNPs (rs7901695, rs7903146, rs11196205, and rs12255372) in Amish subjects with type 2 diabetes (n = 137), impaired glucose tolerance (IGT; n = 139), and normal glucose tolerance (NGT; n = 342).  We compared genotype frequencies in subjects with type 2 diabetes with those with NGT and found marginal association for rs7901695 (P = 0.05; odds ratio [OR] 1.51);  comparison between NGT control subjects and the combined type 2 diabetes/IGT case group showed </ModMar>strong</ModMar> association with rs7901695 and rs7903146 (P = 0.008-0.01; OR 1.53-1.57) and marginal association with rs11196205 and rs12255372 (P = 0.07 and P = 0.04, respectively). In an expanded set of 698 Amish subjects without diabetes, we found no association with insulin and glucose levels during a 3-h oral glucose tolerance test. We also genotyped these SNPs in nondiabetic, non-Amish subjects (n = 48), in whom intravenous glucose tolerance tests were performed, and found an association between rs7901695 and rs7903146 and insulin sensitivity (P = 0.003 and P = 0.005, respectively) and disposition index (P = 0.04 and P = 0.007, respectively). These data provide replicating evidence that variants in TCF7L2 increase the risk for type 2 diabetes and novel evidence that the variants likely influence both insulin secretion and insulin sensitivity.","We also genotyped these SNPs in nondiabetic, non-Amish subjects (n = 48), in whom intravenous glucose tolerance tests were performed, and found an association between rs7901695 and rs7903146 and insulin sensitivity (P = 0.003 and P = 0.005, respectively) and disposition index (P = 0.04 and P = 0.007, respectively).",rs7901695,insulin sensitivity,positive,moderate
"Transcription factor 7-like 2 (TCF7L2) regulates genes involved in cell proliferation and differentiation. The TCF7L2 gene is located on chromosome 10q25 in a region of replicated linkage to type 2 diabetes. Recently, a microsatellite marker in intron 3 DG10S478 and five correlated single nucleotide polymorphisms (SNPs) were identified in Icelandic individuals that showed strong association with type 2 diabetes, which was replicated in Danish and European-American cohorts.  We genotyped four of the SNPs (rs7901695, rs7903146, rs11196205, and rs12255372) in Amish subjects with type 2 diabetes (n = 137), impaired glucose tolerance (IGT; n = 139), and normal glucose tolerance (NGT; n = 342).  We compared genotype frequencies in subjects with type 2 diabetes with those with NGT and found marginal association for rs7901695 (P = 0.05; odds ratio [OR] 1.51);  comparison between NGT control subjects and the combined type 2 diabetes/IGT case group showed </ModMar>strong</ModMar> association with rs7901695 and rs7903146 (P = 0.008-0.01; OR 1.53-1.57) and marginal association with rs11196205 and rs12255372 (P = 0.07 and P = 0.04, respectively). In an expanded set of 698 Amish subjects without diabetes, we found no association with insulin and glucose levels during a 3-h oral glucose tolerance test. We also genotyped these SNPs in nondiabetic, non-Amish subjects (n = 48), in whom intravenous glucose tolerance tests were performed, and found an association between rs7901695 and rs7903146 and insulin sensitivity (P = 0.003 and P = 0.005, respectively) and disposition index (P = 0.04 and P = 0.007, respectively). These data provide replicating evidence that variants in TCF7L2 increase the risk for type 2 diabetes and novel evidence that the variants likely influence both insulin secretion and insulin sensitivity.","We also genotyped these SNPs in nondiabetic, non-Amish subjects (n = 48), in whom intravenous glucose tolerance tests were performed, and found an association between rs7901695 and rs7903146 and insulin sensitivity (P = 0.003 and P = 0.005, respectively) and disposition index (P = 0.04 and P = 0.007, respectively).",rs7901695,disposition index,positive,weak
"Transcription factor 7-like 2 (TCF7L2) regulates genes involved in cell proliferation and differentiation. The TCF7L2 gene is located on chromosome 10q25 in a region of replicated linkage to type 2 diabetes. Recently, a microsatellite marker in intron 3 DG10S478 and five correlated single nucleotide polymorphisms (SNPs) were identified in Icelandic individuals that showed strong association with type 2 diabetes, which was replicated in Danish and European-American cohorts.  We genotyped four of the SNPs (rs7901695, rs7903146, rs11196205, and rs12255372) in Amish subjects with type 2 diabetes (n = 137), impaired glucose tolerance (IGT; n = 139), and normal glucose tolerance (NGT; n = 342).  We compared genotype frequencies in subjects with type 2 diabetes with those with NGT and found marginal association for rs7901695 (P = 0.05; odds ratio [OR] 1.51);  comparison between NGT control subjects and the combined type 2 diabetes/IGT case group showed </ModMar>strong</ModMar> association with rs7901695 and rs7903146 (P = 0.008-0.01; OR 1.53-1.57) and marginal association with rs11196205 and rs12255372 (P = 0.07 and P = 0.04, respectively). In an expanded set of 698 Amish subjects without diabetes, we found no association with insulin and glucose levels during a 3-h oral glucose tolerance test. We also genotyped these SNPs in nondiabetic, non-Amish subjects (n = 48), in whom intravenous glucose tolerance tests were performed, and found an association between rs7901695 and rs7903146 and insulin sensitivity (P = 0.003 and P = 0.005, respectively) and disposition index (P = 0.04 and P = 0.007, respectively). These data provide replicating evidence that variants in TCF7L2 increase the risk for type 2 diabetes and novel evidence that the variants likely influence both insulin secretion and insulin sensitivity.","We also genotyped these SNPs in nondiabetic, non-Amish subjects (n = 48), in whom intravenous glucose tolerance tests were performed, and found an association between rs7901695 and rs7903146 and insulin sensitivity (P = 0.003 and P = 0.005, respectively) and disposition index (P = 0.04 and P = 0.007, respectively).",rs7903146,glucose tolerance,positive,weak
"Transcription factor 7-like 2 (TCF7L2) regulates genes involved in cell proliferation and differentiation. The TCF7L2 gene is located on chromosome 10q25 in a region of replicated linkage to type 2 diabetes. Recently, a microsatellite marker in intron 3 DG10S478 and five correlated single nucleotide polymorphisms (SNPs) were identified in Icelandic individuals that showed strong association with type 2 diabetes, which was replicated in Danish and European-American cohorts.  We genotyped four of the SNPs (rs7901695, rs7903146, rs11196205, and rs12255372) in Amish subjects with type 2 diabetes (n = 137), impaired glucose tolerance (IGT; n = 139), and normal glucose tolerance (NGT; n = 342).  We compared genotype frequencies in subjects with type 2 diabetes with those with NGT and found marginal association for rs7901695 (P = 0.05; odds ratio [OR] 1.51);  comparison between NGT control subjects and the combined type 2 diabetes/IGT case group showed </ModMar>strong</ModMar> association with rs7901695 and rs7903146 (P = 0.008-0.01; OR 1.53-1.57) and marginal association with rs11196205 and rs12255372 (P = 0.07 and P = 0.04, respectively). In an expanded set of 698 Amish subjects without diabetes, we found no association with insulin and glucose levels during a 3-h oral glucose tolerance test. We also genotyped these SNPs in nondiabetic, non-Amish subjects (n = 48), in whom intravenous glucose tolerance tests were performed, and found an association between rs7901695 and rs7903146 and insulin sensitivity (P = 0.003 and P = 0.005, respectively) and disposition index (P = 0.04 and P = 0.007, respectively). These data provide replicating evidence that variants in TCF7L2 increase the risk for type 2 diabetes and novel evidence that the variants likely influence both insulin secretion and insulin sensitivity.","We also genotyped these SNPs in nondiabetic, non-Amish subjects (n = 48), in whom intravenous glucose tolerance tests were performed, and found an association between rs7901695 and rs7903146 and insulin sensitivity (P = 0.003 and P = 0.005, respectively) and disposition index (P = 0.04 and P = 0.007, respectively).",rs7903146,disposition index,positive,moderate
"Emerging evidence indicates that variation in the transcription factor 7-like 2 (TCF7L2) gene may play a role in the pathogenesis of type 2 diabetes. In a prospective, nested, case-control study (n = 3,520) within the Nurses' Health Study (687 type 2 diabetic case and 1,051 control subjects) and the Health Professionals Follow-up Study (886 case and 896 control subjects), we examined the association of a common variant of the TCF7L2 gene (rs12255372 [T/G]) with type 2 diabetes risk among Caucasians. Frequencies of the T-allele were significantly higher among case than control subjects; each copy of the T-allele was associated with a 1.32-fold (P = 0.0002) and 1.53-fold (P < 0.0001) increased type 2 diabetes risk in women and men, respectively. The odds ratios (95% CI) associated with homozygous carriers of the T-allele were 1.86 (1.30-2.67) and 2.15 (1.48-3.13) in women and men, respectively. Population-attributable risks for diabetes associated with the T-allele were 14.8 and 22.3% for women and men, respectively. In a meta-analysis of 3,347 case and 3,947 control subjects, each copy of the T-allele was associated with a 1.48-fold increased risk (P < 10(-16)). Our findings confirm that the TCF7L2 gene represents an important locus for predicting inherited susceptibility to type 2 diabetes.","In a prospective, nested, case-control study (n = 3,520) within the Nurses' Health Study (687 type 2 diabetic case and 1,051 control subjects) and the Health Professionals Follow-up Study (886 case and 896 control subjects), we examined the association of a common variant of the TCF7L2 gene (rs12255372 [T/G]) with type 2 diabetes risk among Caucasians.",rs12255372 [T/G],type 2 diabetes,neutral,zero
"BACKGROUND: Common polymorphisms of the transcription factor 7-like 2 gene (TCF7L2) have recently been associated with type 2 diabetes. We examined whether the two most strongly associated variants (rs12255372 and rs7903146) predict the progression to diabetes in persons with impaired glucose tolerance who were enrolled in the Diabetes Prevention Program, in which lifestyle intervention or treatment with metformin was compared with placebo. METHODS: We genotyped these variants in 3548 participants and performed Cox regression analysis using genotype, intervention, and their interactions as predictors. We assessed the effect of genotype on measures of insulin secretion and insulin sensitivity at baseline and at one year. RESULTS:  Over an average period of three years, participants with the risk-conferring TT genotype at rs7903146 were more likely to have progression from impaired glucose tolerance to diabetes than were CC homozygotes (hazard ratio, 1.55; 95 percent confidence interval, 1.20 to 2.01; P<0.001). The effect of genotype was stronger in the placebo group (hazard ratio, 1.81; 95 percent confidence interval, 1.21 to 2.70; P=0.004) than in the metformin and lifestyle-intervention groups (hazard ratios, 1.62 and 1.15, respectively; P for the interaction between genotype and intervention not significant). The TT genotype was associated with decreased insulin secretion but not increased insulin resistance at baseline. Similar results were obtained for rs12255372. CONCLUSIONS: Common variants in TCF7L2 seem to be associated with an increased risk of diabetes among persons with impaired glucose tolerance. The risk-conferring genotypes in TCF7L2 are associated with impaired beta-cell function but not with insulin resistance. (ClinicalTrials.gov number, NCT00004992. [ClinicalTrials.gov]).","RESULTS:  Over an average period of three years, participants with the risk-conferring TT genotype at rs7903146 were more likely to have progression from impaired glucose tolerance to diabetes than were CC homozygotes (hazard ratio, 1.55; 95 percent confidence interval, 1.20 to 2.01; P<0.001).",rs7903146,diabetes,positive,strong
"BACKGROUND: Common polymorphisms of the transcription factor 7-like 2 gene (TCF7L2) have recently been associated with type 2 diabetes. We examined whether the two most strongly associated variants (rs12255372 and rs7903146) predict the progression to diabetes in persons with impaired glucose tolerance who were enrolled in the Diabetes Prevention Program, in which lifestyle intervention or treatment with metformin was compared with placebo. METHODS: We genotyped these variants in 3548 participants and performed Cox regression analysis using genotype, intervention, and their interactions as predictors. We assessed the effect of genotype on measures of insulin secretion and insulin sensitivity at baseline and at one year. RESULTS:  Over an average period of three years, participants with the risk-conferring TT genotype at rs7903146 were more likely to have progression from impaired glucose tolerance to diabetes than were CC homozygotes (hazard ratio, 1.55; 95 percent confidence interval, 1.20 to 2.01; P<0.001). The effect of genotype was stronger in the placebo group (hazard ratio, 1.81; 95 percent confidence interval, 1.21 to 2.70; P=0.004) than in the metformin and lifestyle-intervention groups (hazard ratios, 1.62 and 1.15, respectively; P for the interaction between genotype and intervention not significant). The TT genotype was associated with decreased insulin secretion but not increased insulin resistance at baseline. Similar results were obtained for rs12255372. CONCLUSIONS: Common variants in TCF7L2 seem to be associated with an increased risk of diabetes among persons with impaired glucose tolerance. The risk-conferring genotypes in TCF7L2 are associated with impaired beta-cell function but not with insulin resistance. (ClinicalTrials.gov number, NCT00004992. [ClinicalTrials.gov]).","RESULTS:  Over an average period of three years, participants with the risk-conferring TT genotype at rs7903146 were more likely to have progression from impaired glucose tolerance to diabetes than were CC homozygotes (hazard ratio, 1.55; 95 percent confidence interval, 1.20 to 2.01; P<0.001).",rs7903146,impaired glucose tolerance,positive,strong
"BACKGROUND: Common polymorphisms of the transcription factor 7-like 2 gene (TCF7L2) have recently been associated with type 2 diabetes. We examined whether the two most strongly associated variants (rs12255372 and rs7903146) predict the progression to diabetes in persons with impaired glucose tolerance who were enrolled in the Diabetes Prevention Program, in which lifestyle intervention or treatment with metformin was compared with placebo. METHODS: We genotyped these variants in 3548 participants and performed Cox regression analysis using genotype, intervention, and their interactions as predictors. We assessed the effect of genotype on measures of insulin secretion and insulin sensitivity at baseline and at one year. RESULTS:  Over an average period of three years, participants with the risk-conferring TT genotype at rs7903146 were more likely to have progression from impaired glucose tolerance to diabetes than were CC homozygotes (hazard ratio, 1.55; 95 percent confidence interval, 1.20 to 2.01; P<0.001). The effect of genotype was stronger in the placebo group (hazard ratio, 1.81; 95 percent confidence interval, 1.21 to 2.70; P=0.004) than in the metformin and lifestyle-intervention groups (hazard ratios, 1.62 and 1.15, respectively; P for the interaction between genotype and intervention not significant). The TT genotype was associated with decreased insulin secretion but not increased insulin resistance at baseline. Similar results were obtained for rs12255372. CONCLUSIONS: Common variants in TCF7L2 seem to be associated with an increased risk of diabetes among persons with impaired glucose tolerance. The risk-conferring genotypes in TCF7L2 are associated with impaired beta-cell function but not with insulin resistance. (ClinicalTrials.gov number, NCT00004992. [ClinicalTrials.gov]).",CONCLUSIONS: Common variants in TCF7L2 seem to be associated with an increased risk of diabetes among persons with impaired glucose tolerance.,TCF7L2,impaired glucose tolerance,positive,weak
"BACKGROUND: Common polymorphisms of the transcription factor 7-like 2 gene (TCF7L2) have recently been associated with type 2 diabetes. We examined whether the two most strongly associated variants (rs12255372 and rs7903146) predict the progression to diabetes in persons with impaired glucose tolerance who were enrolled in the Diabetes Prevention Program, in which lifestyle intervention or treatment with metformin was compared with placebo. METHODS: We genotyped these variants in 3548 participants and performed Cox regression analysis using genotype, intervention, and their interactions as predictors. We assessed the effect of genotype on measures of insulin secretion and insulin sensitivity at baseline and at one year. RESULTS:  Over an average period of three years, participants with the risk-conferring TT genotype at rs7903146 were more likely to have progression from impaired glucose tolerance to diabetes than were CC homozygotes (hazard ratio, 1.55; 95 percent confidence interval, 1.20 to 2.01; P<0.001). The effect of genotype was stronger in the placebo group (hazard ratio, 1.81; 95 percent confidence interval, 1.21 to 2.70; P=0.004) than in the metformin and lifestyle-intervention groups (hazard ratios, 1.62 and 1.15, respectively; P for the interaction between genotype and intervention not significant). The TT genotype was associated with decreased insulin secretion but not increased insulin resistance at baseline. Similar results were obtained for rs12255372. CONCLUSIONS: Common variants in TCF7L2 seem to be associated with an increased risk of diabetes among persons with impaired glucose tolerance. The risk-conferring genotypes in TCF7L2 are associated with impaired beta-cell function but not with insulin resistance. (ClinicalTrials.gov number, NCT00004992. [ClinicalTrials.gov]).",CONCLUSIONS: Common variants in TCF7L2 seem to be associated with an increased risk of diabetes among persons with impaired glucose tolerance.,TCF7L2,diabetes,positive,weak
"Emerging evidence indicates that variation in the transcription factor 7-like 2 (TCF7L2) gene may play a role in the pathogenesis of type 2 diabetes. In a prospective, nested, case-control study (n = 3,520) within the Nurses' Health Study (687 type 2 diabetic case and 1,051 control subjects) and the Health Professionals Follow-up Study (886 case and 896 control subjects),  we examined the association of a common variant of the TCF7L2 gene (rs12255372 [T/G]) with type 2 diabetes risk among Caucasians. Frequencies of the T-allele were significantly higher among case than control subjects; each copy of the T-allele was associated with a 1.32-fold (P = 0.0002) and 1.53-fold (P < 0.0001) increased type 2 diabetes risk in women and men, respectively. The odds ratios (95% CI) associated with homozygous carriers of the T-allele were 1.86 (1.30-2.67) and 2.15 (1.48-3.13) in women and men, respectively. Population-attributable risks for diabetes associated with the T-allele were 14.8 and 22.3% for women and men, respectively. In a meta-analysis of 3,347 case and 3,947 control subjects, each copy of the T-allele was associated with a 1.48-fold increased risk (P < 10(-16)). Our findings confirm that the TCF7L2 gene represents an important locus for predicting inherited susceptibility to type 2 diabetes.",Our findings confirm that the TCF7L2 gene represents an important locus for predicting inherited susceptibility to type 2 diabetes.,TCF7L2,type 2 diabetes,positive,strong
"OBJECTIVE: It has been suggested that transcription factor 7-like 2 protein (TCF7L2) plays an important role in glucose metabolism by regulating the production level of glucagon-like peptide-1, a hormone which modifies glucose-dependent insulin secretion. Recently, variants of TCF7L2 gene were reported to confer an increased risk of type 2 diabetes in three different samples from European and European-origin populations. We studied whether the single nucleotide polymorphisms (SNPs) in TCF7L2 were associated with type 2 diabetes in samples from a Japanese population. METHODS: Five SNPs were genotyped in three different sample sets. Association with type 2 diabetes was investigated in each, as well as in combined sample sets. RESULTS: The SNP rs7903146 was nominally associated with type 2 diabetes in the initial (p = 0.08) and two replication sample sets (p = 0.05 and 0.06). For the combined sample set, in which we successfully genotyped 1,174 type 2 diabetes patients and 823 control subjects, rs7903146 showed a significant association with type 2 diabetes (odds ratio = 1.69 [95% CI 1.21-2.36], p = 0.002) with the same direction as the previous reports in samples from European and European-origin populations. SNPs rs7903146 and rs7901695 were in complete linkage disequilibrium. The rest of the five SNPs (rs7895340, rs11196205 and rs12255372) did not show any significant associations with type 2 diabetes. CONCLUSIONS: The consistent association between rs7903146 in TCF7L2 and type 2 diabetes in different ethnic groups, including the Japanese population, suggests that TCF7L2 is a common susceptibility gene for type 2 diabetes.","CONCLUSIONS: The consistent association between rs7903146 in TCF7L2 and type 2 diabetes in different ethnic groups, including the Japanese population, suggests that TCF7L2 is a common susceptibility gene for type 2 diabetes.",rs7903146,type 2 diabetes,positive,weak
"OBJECTIVE: It has been suggested that transcription factor 7-like 2 protein (TCF7L2) plays an important role in glucose metabolism by regulating the production level of glucagon-like peptide-1, a hormone which modifies glucose-dependent insulin secretion. Recently, variants of TCF7L2 gene were reported to confer an increased risk of type 2 diabetes in three different samples from European and European-origin populations. We studied whether the single nucleotide polymorphisms (SNPs) in TCF7L2 were associated with type 2 diabetes in samples from a Japanese population. METHODS: Five SNPs were genotyped in three different sample sets. Association with type 2 diabetes was investigated in each, as well as in combined sample sets. RESULTS: The SNP rs7903146 was nominally associated with type 2 diabetes in the initial (p = 0.08) and two replication sample sets (p = 0.05 and 0.06). For the combined sample set, in which we successfully genotyped 1,174 type 2 diabetes patients and 823 control subjects, rs7903146 showed a significant association with type 2 diabetes (odds ratio = 1.69 [95% CI 1.21-2.36], p = 0.002) with the same direction as the previous reports in samples from European and European-origin populations. SNPs rs7903146 and rs7901695 were in complete linkage disequilibrium. The rest of the five SNPs (rs7895340, rs11196205 and rs12255372) did not show any significant associations with type 2 diabetes. CONCLUSIONS: The consistent association between rs7903146 in TCF7L2 and type 2 diabetes in different ethnic groups, including the Japanese population, suggests that TCF7L2 is a common susceptibility gene for type 2 diabetes.","CONCLUSIONS: The consistent association between rs7903146 in TCF7L2 and type 2 diabetes in different ethnic groups, including the Japanese population, suggests that TCF7L2 is a common susceptibility gene for type 2 diabetes.",rs7903146,type 2 diabetes,positive,moderate
"OBJECTIVE: It has been suggested that transcription factor 7-like 2 protein (TCF7L2) plays an important role in glucose metabolism by regulating the production level of glucagon-like peptide-1, a hormone which modifies glucose-dependent insulin secretion. Recently, variants of TCF7L2 gene were reported to confer an increased risk of type 2 diabetes in three different samples from European and European-origin populations. We studied whether the single nucleotide polymorphisms (SNPs) in TCF7L2 were associated with type 2 diabetes in samples from a Japanese population. METHODS: Five SNPs were genotyped in three different sample sets. Association with type 2 diabetes was investigated in each, as well as in combined sample sets. RESULTS: The SNP rs7903146 was nominally associated with type 2 diabetes in the initial (p = 0.08) and two replication sample sets (p = 0.05 and 0.06). For the combined sample set, in which we successfully genotyped 1,174 type 2 diabetes patients and 823 control subjects, rs7903146 showed a significant association with type 2 diabetes (odds ratio = 1.69 [95% CI 1.21-2.36], p = 0.002) with the same direction as the previous reports in samples from European and European-origin populations. SNPs rs7903146 and rs7901695 were in complete linkage disequilibrium. The rest of the five SNPs (rs7895340, rs11196205 and rs12255372) did not show any significant associations with type 2 diabetes. CONCLUSIONS: The consistent association between rs7903146 in TCF7L2 and type 2 diabetes in different ethnic groups, including the Japanese population, suggests that TCF7L2 is a common susceptibility gene for type 2 diabetes.","The rest of the five SNPs (rs7895340, rs11196205 and rs12255372) did not show any significant associations with type 2 diabetes.",rs7895340,type 2 diabetes,positive,weak
"OBJECTIVE: It has been suggested that transcription factor 7-like 2 protein (TCF7L2) plays an important role in glucose metabolism by regulating the production level of glucagon-like peptide-1, a hormone which modifies glucose-dependent insulin secretion. Recently, variants of TCF7L2 gene were reported to confer an increased risk of type 2 diabetes in three different samples from European and European-origin populations. We studied whether the single nucleotide polymorphisms (SNPs) in TCF7L2 were associated with type 2 diabetes in samples from a Japanese population. METHODS: Five SNPs were genotyped in three different sample sets. Association with type 2 diabetes was investigated in each, as well as in combined sample sets. RESULTS: The SNP rs7903146 was nominally associated with type 2 diabetes in the initial (p = 0.08) and two replication sample sets (p = 0.05 and 0.06). For the combined sample set, in which we successfully genotyped 1,174 type 2 diabetes patients and 823 control subjects, rs7903146 showed a significant association with type 2 diabetes (odds ratio = 1.69 [95% CI 1.21-2.36], p = 0.002) with the same direction as the previous reports in samples from European and European-origin populations. SNPs rs7903146 and rs7901695 were in complete linkage disequilibrium. The rest of the five SNPs (rs7895340, rs11196205 and rs12255372) did not show any significant associations with type 2 diabetes. CONCLUSIONS: The consistent association between rs7903146 in TCF7L2 and type 2 diabetes in different ethnic groups, including the Japanese population, suggests that TCF7L2 is a common susceptibility gene for type 2 diabetes.","The rest of the five SNPs (rs7895340, rs11196205 and rs12255372) did not show any significant associations with type 2 diabetes.",rs11196205,type 2 diabetes,negative,-
"OBJECTIVE: It has been suggested that transcription factor 7-like 2 protein (TCF7L2) plays an important role in glucose metabolism by regulating the production level of glucagon-like peptide-1, a hormone which modifies glucose-dependent insulin secretion. Recently, variants of TCF7L2 gene were reported to confer an increased risk of type 2 diabetes in three different samples from European and European-origin populations. We studied whether the single nucleotide polymorphisms (SNPs) in TCF7L2 were associated with type 2 diabetes in samples from a Japanese population. METHODS: Five SNPs were genotyped in three different sample sets. Association with type 2 diabetes was investigated in each, as well as in combined sample sets. RESULTS: The SNP rs7903146 was nominally associated with type 2 diabetes in the initial (p = 0.08) and two replication sample sets (p = 0.05 and 0.06). For the combined sample set, in which we successfully genotyped 1,174 type 2 diabetes patients and 823 control subjects, rs7903146 showed a significant association with type 2 diabetes (odds ratio = 1.69 [95% CI 1.21-2.36], p = 0.002) with the same direction as the previous reports in samples from European and European-origin populations. SNPs rs7903146 and rs7901695 were in complete linkage disequilibrium. The rest of the five SNPs (rs7895340, rs11196205 and rs12255372) did not show any significant associations with type 2 diabetes. CONCLUSIONS: The consistent association between rs7903146 in TCF7L2 and type 2 diabetes in different ethnic groups, including the Japanese population, suggests that TCF7L2 is a common susceptibility gene for type 2 diabetes.","The rest of the five SNPs (rs7895340, rs11196205 and rs12255372) did not show any significant associations with type 2 diabetes.",rs12255372,type 2 diabetes,negative,-
"OBJECTIVE: It has been suggested that transcription factor 7-like 2 protein (TCF7L2) plays an important role in glucose metabolism by regulating the production level of glucagon-like peptide-1, a hormone which modifies glucose-dependent insulin secretion. Recently, variants of TCF7L2 gene were reported to confer an increased risk of type 2 diabetes in three different samples from European and European-origin populations. We studied whether the single nucleotide polymorphisms (SNPs) in TCF7L2 were associated with type 2 diabetes in samples from a Japanese population. METHODS: Five SNPs were genotyped in three different sample sets. Association with type 2 diabetes was investigated in each, as well as in combined sample sets. RESULTS: The SNP rs7903146 was nominally associated with type 2 diabetes in the initial (p = 0.08) and two replication sample sets (p = 0.05 and 0.06). For the combined sample set, in which we successfully genotyped 1,174 type 2 diabetes patients and 823 control subjects, rs7903146 showed a significant association with type 2 diabetes (odds ratio = 1.69 [95% CI 1.21-2.36], p = 0.002) with the same direction as the previous reports in samples from European and European-origin populations. SNPs rs7903146 and rs7901695 were in complete linkage disequilibrium. The rest of the five SNPs (rs7895340, rs11196205 and rs12255372) did not show any significant associations with type 2 diabetes. CONCLUSIONS: The consistent association between rs7903146 in TCF7L2 and type 2 diabetes in different ethnic groups, including the Japanese population, suggests that TCF7L2 is a common susceptibility gene for type 2 diabetes.","CONCLUSIONS: The consistent association between rs7903146 in TCF7L2 and type 2 diabetes in different ethnic groups, including the Japanese population, suggests that TCF7L2 is a common susceptibility gene for type 2 diabetes.",rs7903146,type 2 diabetes,positive,moderate
"BACKGROUND Several studies have examined associations between genetic variants and the risk of gestational diabetes mellitus (GDM). However, inferences from these studies were often hindered by limited statistical power and conflicting results. We aimed to systematically review and quantitatively summarize the association of commonly studied single nucleotide polymorphisms (SNPs) with GDM risk and to identify important gaps that remain for consideration in future studies. METHODS Genetic association studies of GDM published through 1 October 2012 were searched using the HuGE Navigator and PubMed databases. A SNP was included if the SNP-GDM associations were assessed in three or more independent studies. Two reviewers independently evaluated the eligibility for inclusion and extracted the data. The allele-specific odds ratios (ORs) and 95% confidence intervals (CIs) were pooled using random effects models accounting for heterogeneity. RESULTS Overall, 29 eligible articles capturing associations of 12 SNPs from 10 geneswere included for the systematic review. The minor alleles of rs7903146 (TCF7L2), rs12255372 (TCF7L2), rs1799884 (-30G/A, GCK), rs5219 (E23K,KCNJ11), rs7754840 (CDKAL1), rs4402960 (IGF2BP2), rs10830963 (MTNR1B), rs1387153 (MTNR1B) and rs1801278 (Gly972Arg, IRS1) were significantly associated with a higher risk of GDM. Among them, genetic variants in TCF7L2 showed the strongest association with GDM risk, with ORs (95% CIs) of 1.44 (1.29-1.60, P < 0.001) per T allele of rs7903146 and 1.46 (1.15-1.84, P = 0.002) per T allele of rs12255372. CONCLUSIONS In this systematic review, we found significant associations of GDM risk with nine SNPs in seven genes, most of which have been related to the regulation of insulin secretion.","Among them, genetic variants in TCF7L2 showed the strongest association with GDM risk, with ORs (95% CIs) of 1.44 (1.29-1.60, P < 0.001) per T allele of rs7903146 and 1.46 (1.15-1.84, P = 0.002) per T allele of rs12255372.",rs7903146,GDM,positive,strong
"BACKGROUND Several studies have examined associations between genetic variants and the risk of gestational diabetes mellitus (GDM). However, inferences from these studies were often hindered by limited statistical power and conflicting results. We aimed to systematically review and quantitatively summarize the association of commonly studied single nucleotide polymorphisms (SNPs) with GDM risk and to identify important gaps that remain for consideration in future studies. METHODS Genetic association studies of GDM published through 1 October 2012 were searched using the HuGE Navigator and PubMed databases. A SNP was included if the SNP-GDM associations were assessed in three or more independent studies. Two reviewers independently evaluated the eligibility for inclusion and extracted the data. The allele-specific odds ratios (ORs) and 95% confidence intervals (CIs) were pooled using random effects models accounting for heterogeneity. RESULTS Overall, 29 eligible articles capturing associations of 12 SNPs from 10 geneswere included for the systematic review. The minor alleles of rs7903146 (TCF7L2), rs12255372 (TCF7L2), rs1799884 (-30G/A, GCK), rs5219 (E23K,KCNJ11), rs7754840 (CDKAL1), rs4402960 (IGF2BP2), rs10830963 (MTNR1B), rs1387153 (MTNR1B) and rs1801278 (Gly972Arg, IRS1) were significantly associated with a higher risk of GDM. Among them, genetic variants in TCF7L2 showed the strongest association with GDM risk, with ORs (95% CIs) of 1.44 (1.29-1.60, P < 0.001) per T allele of rs7903146 and 1.46 (1.15-1.84, P = 0.002) per T allele of rs12255372. CONCLUSIONS In this systematic review, we found significant associations of GDM risk with nine SNPs in seven genes, most of which have been related to the regulation of insulin secretion.","Among them, genetic variants in TCF7L2 showed the strongest association with GDM risk, with ORs (95% CIs) of 1.44 (1.29-1.60, P < 0.001) per T allele of rs7903146 and 1.46 (1.15-1.84, P = 0.002) per T allele of rs12255372.",rs12255372,GDM,positive,strong
